Mercado Secundário de Debêntures - Gerado em 16/11/2020 17:35:00

Data	Emissor	Código do Ativo	ISIN	Quantidade	Número de Negócios	PU Mínimo	PU Médio	PU Máximo	% PU da Curva
13/11/2020	CENTRO DE IMAGEM DIAGNOSTICOS S/A	AALR12	BRAALRDBS024	352	13	9.375,435803	9.608,569184	9.648,990936	95,12
13/11/2020	CENTRO DE IMAGEM DIAGNOSTICOS S/A	AALR22	BRAALRDBS032	200	2	9.564,344217	9.566,972796	9.569,601375	94,71
13/11/2020	RGE SUL DISTRIBUIDORA DE ENERGIA S/A	AESL17	BRAESLDBS008	4210	5	1.174,878944	1.176,575916	1.183,515522	107,99
13/11/2020	CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.	AGRU12	BRAGRUDBS048	204	4	987,675428	994,336753	1.000,998077	87,66
13/11/2020	ALGAR TELECOM S.A.	ALGA15	BRALGTDBS035	1200	2	1.291,641387	1.291,641387	1.291,641387	106,87
13/11/2020	ALGAR TELECOM S.A.	ALGA26	BRALGTDBS050	439	4	1.281,664003	1.292,336930	1.323,632715	109,72
13/11/2020	ALGAR TELECOM S.A.	ALGA27	BRALGTDBS076	1000	1	1.202,754796	1.202,754796	1.202,754796	108,61
13/11/2020	ALIANCA GERACAO DE ENERGIA S/A	ALIG12	BRALGEDBS011	70	2	971,017403	971,017403	971,017403	98,12
13/11/2020	CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A	ANHB18	BRANHBDBS0D8	894	19	1.187,176076	1.192,659317	1.217,626824	104,26
13/11/2020	ARTERIS S.A.	ARTR35	BRARTRDBS054	3	2	1.186,070000	1.186,280000	1.186,700000	105,89
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLB8	BRDBENDBS0G1	314971	1	32,467963	32,467963	32,467963	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLE6	BRDBENDBS0E6	194097	1	38,430447	38,430447	38,430447	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLE8	BRDBENDBS0G1	318153	1	32,467963	32,467963	32,467963	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLF6	BRDBENDBS0E6	412136	1	38,430447	38,430447	38,430447	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLF8	BRDBENDBS0G1	349291	1	32,467963	32,467963	32,467963	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLG6	BRDBENDBS0E6	296432	1	38,430447	38,430447	38,430447	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLG7	BRDBENDBS0F3	313109	1	33,962391	33,962391	33,962391	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLI8	BRDBENDBS0G1	569166	1	32,467963	32,467963	32,467963	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLJ6	BRDBENDBS0E6	236962	1	38,430447	38,430447	38,430447	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLK6	BRDBENDBS0E6	623815	1	38,430447	38,430447	38,430447	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLK7	BRDBENDBS0F3	501194	1	33,962391	33,962391	33,962391	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLK8	BRDBENDBS0G1	301308	1	32,467963	32,467963	32,467963	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLL6	BRDBENDBS0E6	638448	1	38,430447	38,430447	38,430447	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLL8	BRDBENDBS0G1	45973	1	32,467963	32,467963	32,467963	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLM6	BRDBENDBS0E6	389744	1	38,430447	38,430447	38,430447	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLN6	BRDBENDBS0E6	685547	2	38,430447	38,430447	38,430447	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLO6	BRDBENDBS0E6	497153	2	38,430447	38,430447	38,430447	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLP6	BRDBENDBS0E6	552998	2	38,430447	38,430447	38,430447	100,00
13/11/2020	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	BFBLQ6	BRDBENDBS0E6	372561	1	38,430447	38,430447	38,430447	100,00
13/11/2020	BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.	BLMN12	BRBLMNDBS026	331	3	1.325,770111	1.348,927308	1.352,110428	114,81
13/11/2020	CONCESSIONARIA AUTO RAPOSO TAVARES S/A	CART12	BRRPTADBS017	1	1	1.536,508669	1.536,508669	1.536,508669	104,35
13/11/2020	CONCESSIONARIA AUTO RAPOSO TAVARES S/A	CART22	BRRPTADBS025	5	4	1.447,940000	1.528,435822	1.548,559777	103,58
13/11/2020	CONCESSIONARIA ROTA DAS BANDEIRAS S/A	CBAN12	BRCRBDDBS025	1356	36	1.090,145910	1.130,952787	1.186,194087	104,52
13/11/2020	CONCESSIONARIA ROTA DAS BANDEIRAS S/A	CBAN72	BRCRBDDBS082	73	4	1.110,076200	1.110,076200	1.110,076200	102,41
13/11/2020	CYRELA COMMERCIAL PROPERTIES S/A EMPREENDIMENTOS E PARTICIPACOES	CCPRB1	BRCCPRDBS0B5	500	2	10.066,343228	10.066,343228	10.066,343228	98,91
13/11/2020	CCR S/A	CCRDC1	BRCCRODBS0F7	3370	16	1.002,440556	1.002,747302	1.003,054047	98,48
13/11/2020	COMPANHIA ENERGETICA DO MARANHAO - CEMAR	CEMA17	BREQMADBS018	1140	13	1.214,328570	1.215,251042	1.215,497034	105,68
13/11/2020	COMPANHIA ENERGETICA DO MARANHAO - CEMAR	CEMA27	BREQMADBS026	184	3	1.233,914379	1.233,914379	1.233,914379	107,30
13/11/2020	ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.	CEMT18	BRENMTDBS049	4	2	10.057,175844	10.057,175844	10.057,175844	99,85
13/11/2020	CHAPADA DO PIAUI  I  HOLDING S.A.	CHPA11	BRCHPADBS006	10	2	14.593,699481	14.596,984541	14.600,269602	109,82
13/11/2020	CALANGO 6 ENERGIA RENOVAVEL  S.A.	CLNG11	BRCLNGDBS000	100	2	1.570,948664	1.570,948664	1.570,948664	113,36
13/11/2020	CENTRAIS ELETRICAS DO PARA S.A. - CELPA	CLPP13	BREQPADBS011	193	8	1.290,834153	1.291,617939	1.293,804054	106,79
13/11/2020	CENTRAIS ELETRICAS DO PARA S.A. - CELPA	CLPP23	BREQPADBS029	211	1	1.364,798089	1.364,798089	1.364,798089	112,68
13/11/2020	CEMIG DISTRIBUICAO S/A	CMDT23	BRCMGDDBS033	11	2	530,671739	530,671739	530,671739	100,87
13/11/2020	CEMIG DISTRIBUICAO S/A	CMDT33	BRCMGDDBS041	55	8	1.509,760000	1.594,794797	1.605,570033	102,78
13/11/2020	CEMIG DISTRIBUICAO S/A	CMGD27	BRCMGDDBS090	1179	19	1.032,607460	1.058,608930	1.073,937701	99,88
13/11/2020	COMPANHIA ENERGETICA DO CEARA-COELCE	COCE27	BRCOCEDBS0D7	281	5	1.138,231201	1.138,375208	1.151,590000	104,52
13/11/2020	COMPANHIA PIRATININGA DE FORCA E LUZ	CPFP28	BRCPFPDBS081	106	3	997,829394	997,829394	997,829394	99,29
13/11/2020	CPFL GERACAO DE ENERGIA S/A	CPGE19	BRCPFGDBS072	570	3	1.191,903292	1.194,118369	1.196,499628	ND
