Emissor;CNPJ;Número de emissão;Serie;Codigo;Setor;Agente Fiduciário;Líder;Banco Mandatário;Incentivada|Lei 12.431;Volume;Data de emissão;Vencimento/Repactuação;Referência|NTN-B;Remuneração;Amortização;Espécie;Tipo de Debênture;Índice de correção
Aegea Saneamento e Part S/A;8827501000158;3;1;AEGP13;Água, esgoto e outros sistemas;Pentagono SA Dtvm;Banco BTG Pactual SA;Itau Unibanco SA;Não;533500000;2018-07-15;2023-07-15;-;Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2019 e última no vencimento;Pagamento anual, primeiro em 15-Jul-2021 e última no vencimento;Quirografária;DI Spread;DI + 1,4%
Aegea Saneamento e Part S/A;8827501000158;3;2;AEGP23;Água, esgoto e outros sistemas;Pentagono SA Dtvm;Banco BTG Pactual SA;Itau Unibanco SA;Não;66500000;2018-07-15;2025-07-15;2024-08-15;Pagamento anual. Primeiro em 15-jul-2019 e última no vencimento;Pagamento anual. Primeiro em 15-jul-2024 e última no vencimento;Quirografária;IPCA Spread;IPCA + 7,0825%
AES Sul;2016440000162;7;uni;AESL17;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Sim;219600000;2018-09-04;2025-08-15;2025-05-15;Pagamento semestral. nos dias 15-fev e 15-ago. Primeiro em 15-fev-2019 e última no vencimento;Pagamento semestral. nos dias 15-fev e 15-ago. Primeiro em 15-ago-2024 e última no vencimento;Quirografária;IPCA Spread;IPCA + 5,80
AES Tiete E;4128563000110;4;3;TIET34;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Itau BBA SA;Banco Bradesco SA;Sim;301758000;2015-12-15;2020-12-15;2020-08-15;Pagamento semestral, nos dias 15-Jun e 15-Dez. Primeiro em 15-Jun-2016 e último no vencimento.;Integral na data do vencimento.;Quirografária;IPCA Spread;IPCA + 8,4328%
AES Tiete E;4128563000110;5;uni;TIET15;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco BTG Pactual SA;Banco Bradesco SA;Sim;180000000;2016-11-15;2023-12-15;2023-05-15;Pagamento anual. Primeiro em 15-dez-2017 e última no vencimento;2 parcelas iguais em 15-dez-2022 e no vencimento;Quirografária;IPCA Spread;IPCA + 6,5365%
AES Tiete E;4128563000110;6;2;TIET26;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Bradesco Bbi SA;Banco Bradesco SA;Não;317620000;2017-04-15;2024-04-15;2023-05-15;Pagamento Semestral. nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2017;2 parcelas iguais em 15-Abr-2023 e no vencimento;Quirografária;IPCA Spread;IPCA + 6,7842%
AES Tiete E;4128563000110;7;2;TIET27;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco Itau BBA SA;Banco Bradesco SA;Não;750000000;2018-02-15;2023-02-15;-;Pagamento semestral. nos dias 15-ago e 15-fev. Primeiro em 15-ago-2018 e última no vencimento;2 parcelas: 50% em 15-fev-2022 e 50% no vencimento;Quirografária;DI Spread;DI + 1,3%
AES Tiete E;4128563000110;8;uni;TIET18;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco BTG Pactual SA;Banco Bradesco SA;Sim;200000000;2018-05-15;2030-05-15;2026-08-15;Pagamento semestral, nos dias 15-Nov e 15/mai. Primeiro em 15-Nov-2018 e última no vencimento;Pagamento semestral, nos dias 15-Nov e 15/mai. Primeiro em 15-Nov-2019 e última no vencimento;Garantia Real;IPCA Spread;IPCA + 6,0215%
AES Tiete E;4128563000110;9;1;TIET19;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Itau BBA SA;Banco Bradesco SA;Não;1380000000;2019-04-22;2027-03-15;-;Pagamento Semestral. nos dias 15-mar e 15-set. Primeiro em 15-set-2019;2 parcelas: 50% em 15-mar e 50% no vencimento;Quirografária;DI Spread;DI + 1,0000%
AES Tiete E;4128563000110;9;2;TIET29;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Itau BBA SA;Banco Bradesco SA;Sim;641090000;2019-03-15;2029-03-15;2028-08-15;Pagamento semestral. nos dias 15-mar e 15-set. Primeiro em 15-set-2019 e última no vencimento;3 Parcelas: 33,33% em 15-mar-2027, 33,33% 15-mar-2028 e 33,34% no vencimento;Quirografária;IPCA Spread;IPCA + 4,7133%
